employeeId,firstName,lastName,dateOfBirth,dateOfJoining,grade
E001,James,Smith,1980-04-12,2010-05-15,A
E002,Emily,Jones,1992-06-09,2019-03-24,B
E003,Michael,Brown,1987-11-22,2014-01-14,C
E004,Sarah,Johnson,1990-07-17,2020-09-12,D
E005,David,Garcia,1985-12-28,2018-10-01,B
E006,Laura,Martinez,1993-01-11,2016-04-20,C
E007,Robert,Hernandez,1989-08-30,2021-02-14,A
E008,Karen,Lopez,1982-03-15,2013-12-05,D
E009,William,Wilson,1994-05-23,2022-07-18,C
E010,Patricia,Anderson,1988-09-29,2015-11-29,B
E011,Joshua,Thomas,1986-06-21,2017-08-19,A
E012,Elizabeth,Taylor,1991-04-16,2019-06-08,D
E013,Daniel,Miller,1984-10-02,2014-02-26,B
E014,Samantha,Moore,1992-12-25,2017-01-13,C
E015,Matthew,Jackson,1981-08-05,2018-03-21,D
E016,Michelle,Martin,1995-03-07,2020-05-03,A
E017,Chris,Lee,1990-07-30,2016-11-15,B
E018,Angela,Perez,1983-11-11,2014-10-10,D
E019,Joseph,White,1988-05-29,2021-04-25,C
E020,Mary,Thompson,1991-06-30,2019-09-14,A
E021,Jason,Garcia,1982-01-20,2018-12-22,D
E022,Jessica,Hernandez,1990-04-17,2020-06-18,C
E023,John,Wright,1986-02-14,2017-07-30,B
E024,Linda,Hall,1994-10-01,2022-01-28,A
E025,Charles,Young,1985-12-09,2015-08-12,D
E026,Amy,Allen,1989-09-18,2018-11-26,C
E027,Matthew,Sanchez,1991-05-23,2021-04-07,B
E028,Emily,King,1993-08-15,2020-05-20,D
E029,Joshua,Ramirez,1992-11-03,2016-12-09,A
E030,Sarah,Scott,1988-04-05,2014-03-15,C
E031,David,Green,1987-01-09,2019-09-17,D
E032,Andrew,Bailey,1985-10-21,2017-02-28,B
E033,Megan,Roberts,1980-07-14,2021-01-10,A
E034,Nicholas,Turner,1992-12-16,2016-06-04,D
E035,Brittany,Phillips,1989-11-11,2015-07-09,C
E036,Kyle,Campbell,1991-04-03,2022-03-21,A
E037,Angela,Mitchell,1984-09-27,2018-08-08,D
E038,Kevin,Carter,1986-01-12,2019-05-15,C
E039,Kelly,Robinson,1995-07-19,2020-12-10,B
E040,Lauren,Clark,1988-03-04,2017-11-29,D
E041,Eric, Rodriguez,1983-06-27,2014-02-24,A
E042,Olivia,Stewart,1992-10-29,2016-09-13,B
E043,Jack,Howard,1987-12-22,2021-04-18,C
E044,Ashley,Garza,1985-05-09,2015-08-21,D
E045,Steven,King,1994-02-14,2022-01-05,A
E046,Victoria,Adams,1988-11-10,2017-06-24,B
E047,Daniela,Bennett,1991-03-30,2018-10-15,C
E048,Miles,Washington,1986-09-12,2021-05-19,D
E049,Rachel,Hughes,1993-05-22,2020-12-06,A
